,0,1,2,3,4,5,6,7,8,9,10,11,12
proficient,0.0,0.5900926906124627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programming,0.0,0.0,0.0,0.4027065938002542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
python,0.0,0.0,0.0,0.4027065938002542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
python developer,0.31150692937112434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
researcher,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robotic,0.0,0.0,0.0,0.0,0.0,0.0,0.531932980394961,0.0,0.0,0.0,0.0,0.0,0.0
robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.531932980394961,0.0,0.0,0.0,0.0,0.0,0.0
rust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659489658569613,0.0,0.0
seek,0.0,0.25443716435925884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182787555283136,0.0,0.0,0.0
seeking,0.0,0.25443716435925884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182787555283136,0.0,0.0,0.0
skilled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42707807981852325,0.0,0.0,0.0,0.0
software,0.0,0.0,0.0,0.3472794204211027,0.0,0.0,0.0,0.0,0.0,0.36365575110566273,0.0,0.0,0.0
specialize,0.0,0.0,0.200177593077386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specializing,0.0,0.0,0.200177593077386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
team,0.0,0.0,0.34525165257009544,0.0,0.0,0.0,0.30581301618991147,0.0,0.0,0.0,0.0,0.0,0.0
technique,0.0,0.29504634530623136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
techniques,0.0,0.29504634530623136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tensorflow,0.0,0.0,0.0,0.0,0.37515184837358206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42169665183746524,0.0,0.0,0.0
testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42169665183746524,0.0,0.0,0.0
vision,0.0,0.0,0.0,0.0,0.37515184837358206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385236806017805
web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42707807981852325,0.0,0.0,0.0,0.0
